id_feature;id_product;id_feature_value;
"6";"669";"20";
"6";"670";"20";
"6";"671";"22";
"6";"672";"22";
"6";"673";"22";
"6";"674";"20";
"6";"675";"20";
"6";"676";"20";
"6";"677";"20";
"6";"678";"20";
"6";"679";"22";
"6";"680";"22";
"6";"681";"20";
"6";"682";"20";
"6";"683";"20";
"6";"684";"22";
"6";"685";"20";
"6";"686";"20";
"6";"687";"20";
"6";"688";"22";
"6";"689";"20";
"6";"690";"22";
"6";"691";"20";
"6";"692";"20";
"6";"693";"20";
"6";"694";"20";
"6";"695";"20";
"6";"696";"20";
"6";"697";"20";
"6";"698";"22";
"6";"699";"20";
"6";"700";"20";
"6";"701";"20";
"6";"702";"20";
"6";"703";"22";
"6";"704";"22";
"6";"705";"20";
"6";"706";"20";
"6";"707";"20";
"6";"708";"30";
"6";"709";"20";
"6";"710";"20";
"6";"711";"20";
"6";"712";"20";
"6";"713";"20";
"6";"714";"20";
"6";"715";"22";
"6";"716";"22";
"6";"717";"20";
"6";"718";"22";
"6";"719";"22";
"6";"720";"22";
"6";"721";"22";
"6";"722";"22";
"6";"723";"22";
"6";"724";"20";
"6";"725";"20";
"6";"726";"20";
"6";"727";"20";
"6";"728";"22";
"6";"729";"20";
"6";"730";"22";
"6";"731";"20";
"6";"732";"20";
"6";"733";"22";
"6";"734";"20";
"6";"735";"20";
"6";"736";"20";
"6";"737";"20";
"6";"738";"20";
"6";"739";"20";
"6";"740";"20";
"6";"741";"20";
"6";"742";"20";
"6";"743";"20";
"6";"744";"20";
"6";"745";"20";
"6";"746";"20";
"6";"747";"20";
"6";"748";"20";
"6";"749";"20";
"6";"750";"20";
"6";"751";"22";
"6";"752";"22";
"6";"753";"20";
"6";"754";"20";
"6";"755";"22";
"6";"756";"20";
"6";"757";"20";
"6";"758";"22";
"6";"759";"22";
"6";"760";"22";
"6";"761";"30";
"6";"762";"20";
"6";"763";"22";
"6";"764";"20";
"6";"765";"20";
"6";"766";"22";
"6";"767";"20";
"6";"768";"20";
"6";"769";"22";
"6";"770";"22";
"6";"771";"20";
"6";"772";"22";
"6";"773";"20";
"6";"774";"22";
"6";"775";"20";
"6";"776";"20";
"6";"777";"20";
"6";"778";"20";
"6";"779";"20";
"6";"780";"30";
"6";"781";"20";
"6";"782";"30";
"6";"783";"22";
"6";"784";"20";
"6";"785";"20";
"6";"786";"20";
"6";"787";"20";
"6";"788";"20";
"6";"789";"11627";
"6";"790";"20";
"6";"791";"20";
"6";"792";"20";
"6";"793";"20";
"6";"794";"22";
"6";"795";"20";
"6";"796";"20";
"6";"797";"20";
"6";"798";"20";
"6";"799";"20";
"6";"800";"20";
"6";"801";"20";
"6";"802";"20";
"6";"803";"20";
"6";"804";"22";
"6";"805";"20";
"6";"806";"20";
"6";"807";"22";
"6";"808";"20";
"6";"809";"20";
"6";"810";"20";
"6";"811";"20";
"6";"812";"22";
"6";"813";"20";
"6";"814";"20";
"6";"815";"20";
"6";"816";"22";
"6";"817";"20";
"6";"818";"20";
"6";"819";"20";
"6";"820";"20";
"6";"821";"20";
"6";"822";"20";
"6";"823";"20";
"6";"824";"20";
"6";"825";"20";
"6";"826";"20";
"6";"827";"20";
"6";"828";"20";
"6";"829";"20";
"6";"830";"20";
"6";"831";"30";
"6";"832";"20";
"6";"833";"22";
"6";"834";"20";
"6";"835";"20";
"6";"836";"20";
"6";"837";"20";
"6";"838";"22";
"6";"839";"30";
"6";"840";"20";
"6";"841";"20";
"6";"842";"20";
"6";"843";"22";
"6";"844";"20";
"6";"845";"22";
"6";"846";"20";
"6";"847";"20";
"6";"848";"20";
"6";"849";"20";
"6";"850";"20";
"6";"851";"20";
"6";"852";"20";
"6";"853";"20";
"6";"854";"20";
"6";"855";"20";
"6";"856";"20";
"6";"857";"22";
"6";"858";"20";
"6";"859";"20";
"6";"860";"22";
"6";"861";"20";
"6";"862";"20";
"6";"863";"20";
"6";"864";"22";
"6";"865";"20";
"6";"866";"20";
"6";"867";"22";
"6";"868";"20";
"6";"869";"22";
"6";"870";"20";
"6";"871";"20";
"6";"872";"20";
"6";"873";"20";
"6";"874";"20";
"6";"875";"20";
"6";"876";"20";
"6";"877";"20";
"6";"878";"22";
"6";"879";"22";
"6";"880";"20";
"6";"881";"20";
"6";"882";"20";
"6";"883";"20";
"6";"884";"22";
"6";"885";"20";
"6";"886";"30";
"6";"887";"20";
"6";"888";"20";
"6";"889";"20";
"6";"890";"20";
"6";"891";"22";
"6";"892";"22";
"6";"893";"20";
"6";"894";"20";
"6";"895";"20";
"6";"896";"20";
"6";"897";"20";
"6";"898";"20";
"6";"899";"20";
"6";"900";"20";
"6";"901";"20";
"6";"902";"22";
"6";"903";"20";
"6";"904";"20";
"6";"905";"20";
"6";"906";"20";
"6";"907";"20";
"6";"908";"22";
"6";"909";"20";
"6";"910";"20";
"6";"911";"20";
"6";"912";"20";
"6";"913";"20";
"6";"914";"20";
"6";"915";"20";
"6";"916";"20";
"6";"917";"20";
"6";"918";"20";
"6";"919";"20";
"6";"920";"20";
"6";"921";"20";
"6";"922";"20";
"6";"923";"22";
"6";"924";"20";
"6";"925";"22";
"6";"926";"22";
"6";"927";"20";
