ID;Activo (0/1);Nombre*;Categorías (xyz...);Precio sin IVA o Precios con IVA;ID regla de impuestos;Precio mayorista;En rebaja (0/1);Valor del descuento;Porcentaje del descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia n?;N° de referencia proveedor;Proveedor;Fabricante;EAN13;UPC;Ecotasa;Peso;Cantidad;Descripción corta;Descripción;Etiquetas (x,y,z...);Meta-título;Meta-palabras clave;Meta-descripción;Enlace reescrito;Texto para cuando está disponible;Texto para cuando se permiten pedidos en espera;Disponible para ordenar (0 = No, 1 = Si);Fecha en la que se a?adieron productos;Mostrar Precio (0 = No, 1 = Si);URL's de las imágenes (x,y,z...);Elimine las imágenes existentes (0 = no, 1 = si);Característica (Nombre:Valor:Posición);Solo disponible por Internet (0 = No, 1 = Si);Condition;ID / Nombre de la tiend
;1;Sulamp Duo 1000 Mg/250 Mg/5 mL Suspensión X 80 mL;;96599,5711079216;0;;0;;;;;7703763998302;;;;;2014M-0015448;;;5;.;.;;Comprar Sulamp Duo 1000 Mg/250 Mg/5 mL Suspensión;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Sulamp Duo 1000 Mg/250 Mg/5 mL Suspensión . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Lyrica 150 Mg X 30 Cápsulas;;97165,31;0;;0;;;;;7703283404666;;;;;2015M-0004457R1;;;5;.;.;;Comprar Lyrica 150 Mg  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Lyrica 150 Mg . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Oleeva T Invertida 37 Bfx1 Laminas / Lafrancol - Farma Relacional;;97191,3;0;;0;;;;;7702207308141;;;;;;;;5;.;.;;Comprar Oleeva T Invertida 37 Bfx1 Laminas / Lafrancol - Farma Relacional;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Oleeva T Invertida 37 Bfx1 Laminas / Lafrancol - Farma Re. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Ensure Advance Vain Polvo X 400 Grx2u(Pe;;97872,6;0;;0;;;;;7703186029751;;;;;;;;5;.;.;;Comprar Ensure Advance Vain Polvo  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Ensure Advance Vain Polvo . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Modualz 20 Mg X 14 Tabletas Recubiertas;;98308,9830372017;0;;0;;;;;7702057012311;;;;;2014M-0014832;;;5;.;.;;Comprar Modualz 20 Mg  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Modualz 20 Mg . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Flextril 1.500 Mg X 15 Sobres;;98499,124283905;0;;0;;;;;7703546041508;;;;;2006M-0005321;;;5;.;.;;Comprar Flextril 1.500 Mg  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Flextril 1.500 Mg . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Congestex Cápsulas P2l3;;98746,155;0;;0;;;;;7703546031622;;;;;2004M-0003545;;;5;.;.;;Comprar Congestex Cápsulas P2l3 En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Congestex Cápsulas P2l3. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Floratil 250mg Cajax20sobres / Lab Biopas;;99861,49;0;;0;;;;;3583315558093;;;;;;;;5;.;.;;Comprar Floratil 250mg Cajax20sobres / Lab Biopas;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Floratil 250mg Cajax20sobres / Lab Biopas. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Laudal Crema X 3o g / Lab Siegfried - Pharma;;101269,47;0;;0;;;;;7707163010831;;;;;;;;5;.;.;;Comprar Laudal Crema  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Laudal Crema . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Ezolium 20mg Frasco X 30 Cápsulas / Procaps - Farma;;101298,85;0;;0;;;;;7703153030933;;;;;;;;5;.;.;;Comprar Ezolium 20mg Frasco X 30 Cáp En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Ezolium 20mg Frasco X 30 Cáp. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Eduxon 37.5mg Cajax14 Cápsulas Blandas / Procaps - Farma;;101512,42;0;;0;;;;;7703153030063;;;;;;;;5;.;.;;Comprar Eduxon 37.5mg Cajax14 Cápsulas Blandas / Procaps - Farma;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Eduxon 37.5mg Cajax14 Cápsulas Blandas / Procaps - Farma. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Floratil 250 Mg X 20 Cápsulas;;104474,15;0;;0;;;;;7594002621972;;;;;2012M-0013510;;;5;.;.;;Comprar Floratil 250 Mg  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Floratil 250 Mg . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Nimotop 30 Mg X 20 Tabletas.;;104573,186499889;0;;0;;;;;7415100474461;;;;;2007M-010024R2;;;5;.;.;;Comprar Nimotop 30 Mg  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Nimotop 30 Mg . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Flurox 400 Mg X 5 Cápsulas Recubiertas / Tecnoquimicas;;105209,724443217;0;;0;;;;;7702057012380;;;;;2014M-0014849;;;5;.;.;;Comprar Flurox 400 Mg X 5 Cápsulas R En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Flurox 400 Mg X 5 Cápsulas R. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Rosuvastatina Mk 10 Mg X 28 Tabletas Recubiertas;;108072,150304537;0;;0;;;;;7702057061999;;;;;2008M-0008793;;;5;.;.;;Comprar Rosuvastatina Mk 10 Mg  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Rosuvastatina Mk 10 Mg . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Exelon Cápsulas 4.5 Mg;;109230,32;0;;0;;;;;7896261003620;;;;;2010M-0010650;;;5;.;.;;Comprar Exelon Cápsulas 4.5 Mg En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Exelon Cápsulas 4.5 Mg. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Cipro Xr 1.000 Mg X 3 Tabletas.;;110071,218995479;0;;0;;;;;7415100474447;;;;;2014M-0002974-R1;;;5;.;.;;Comprar Cipro Xr 1.000 Mg X 3 Tablet En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Cipro Xr 1.000 Mg X 3 Tablet. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Iruxol Ung 1.2 120 U/100 g;;110315,12;0;;0;;;;;7896255767644;;;;;2015M-003241-R2;;;5;.;.;;Comprar Iruxol Ung 1.2 120 U/100 g En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Iruxol Ung 1.2 120 U/100 g. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Airomed 4 Mg X 90 Tabletas Mastic Fresa;;110504,793363214;0;;0;;;;;7703546014991;;;;;;;;5;.;.;;Comprar Airomed 4 Mg X 90 Tabletas M En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Airomed 4 Mg X 90 Tabletas M. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Apronax 550mg Dispx60tab / Bayer - Otc;;110509,38;0;;0;;;;;7702123000051;;;;;;;;5;.;.;;Comprar Apronax 550mg Dispx60tab / Bayer - Otc;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Apronax 550mg Dispx60tab / Bayer - Otc. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Telmisartan 80mg Cajax30tabs/ Genfar;;111779,223333333;0;;0;;;;;7702605108565;;;;;2013M-0014717;;;5;.;.;;Comprar Telmisartan 80mg Cajax30tabs/ Genfar;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Telmisartan 80mg Cajax30tabs/ Genfar. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Ristaben 50 Mg Cajax28 Tabletas / Eurofarma;;113291,241259212;0;;0;;;;;7897337711272;;;;;;;;5;.;.;;Comprar Ristaben 50 Mg Cajax28 Tabletas / Eurofarma;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Ristaben 50 Mg Cajax28 Tabletas / Eurofarma. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Skinny 2g Suplemento Dietario X 24 Sobres De 2 g;;115048,2168125;1;;0;;;;;7709610860723;;;;;RSAD1OI78713;;;5;.;.;;Comprar Skinny 2g Suplemento Dietario  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Skinny 2g Suplemento Dietario . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Apronax Tabletas 550 Mg+Apr 275 P.E;;115342,875;0;;0;;;;;7702123008415;;;;;2012M-012970-R2;;;5;.;.;;Comprar Apronax Tabletas 550 Mg+Apr 275 P.E;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Apronax Tabletas 550 Mg+Apr 275 P.E. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Eucerin Hyaluron Filler Concentrado X 6 Tubos De 5 mL / Beiersdorf;;115642,2;0;;0;;;;;4005800076992;;;;;;;;5;.;.;;Comprar Eucerin Hyaluron Filler Concentrado;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Eucerin Hyaluron Filler Concentrado . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Ensoy Diabeticpolvovainx400gx3u(G6cre D;;115827,39;0;;0;;;;;7702132121136;;;;;;;;5;.;.;;Comprar Ensoy Diabeticpolvovainx400gx3u(G6cre D;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Ensoy Diabeticpolvovainx400gx3u(G6cre D. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Circadin Caja X 30 Comprimidos / Lab Biopas;;116260,05;0;;0;;;;;5060292653532;;;;;;;;5;.;.;;Comprar Circadin Caja  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Circadin Caja . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Lansopep 30mgr Cajax28 Cápsulas. / Procaps - Farma;;117460,112383766;0;;0;;;;;7703153028985;;;;;2015 M-000336-R2;;;5;.;.;;Comprar Lansopep 30mgr Cajax28 Cápsulas. / Procaps - Farma;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Lansopep 30mgr Cajax28 Cápsulas. / Procaps - Farma. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Memantina Mk 20 Mg X 30 Tabletas Recubiertas;;117565,735012923;0;;0;;;;;7702057706951;;;;;2015M-0015603;;;5;.;.;;Comprar Memantina Mk 20 Mg  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Memantina Mk 20 Mg . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Humulin Nph Cartucho X 5  Neve;;119913,34;0;;0;;;;;7795990001016;;;;;2005M-008939R2;;;5;.;.;;Comprar Humulin Nph Cartucho  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Humulin Nph Cartucho . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
