ID;Activo (0/1);Nombre*;Categorías (xyz...);Precio sin IVA o Precios con IVA;ID regla de impuestos;Precio mayorista;En rebaja (0/1);Valor del descuento;Porcentaje del descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia n?;N° de referencia proveedor;Proveedor;Fabricante;EAN13;UPC;Ecotasa;Peso;Cantidad;Descripción corta;Descripción;Etiquetas (x,y,z...);Meta-título;Meta-palabras clave;Meta-descripción;Enlace reescrito;Texto para cuando está disponible;Texto para cuando se permiten pedidos en espera;Disponible para ordenar (0 = No, 1 = Si);Fecha en la que se a?adieron productos;Mostrar Precio (0 = No, 1 = Si);URL's de las imágenes (x,y,z...);Elimine las imágenes existentes (0 = no, 1 = si);Característica (Nombre:Valor:Posición);Solo disponible por Internet (0 = No, 1 = Si);Condition;ID / Nombre de la tiend
;0;Winadeine F 325/8 Mg X 100 Tabletas;;134115,18;0;134115,18;0;;;;;7706263004207;7706263004207;COBECA;;;;;;5;;;;Comprar Winadeine F 325/8 Mg X 100 Tabletas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Winadeine F 325/8 Mg X 100 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Flurox 400 Mg X 7 Tabletas Recubiertas;;147200,58;0;147200,58;0;;;;;7702057012373;7702057012373;COBECA;;;;;;5;;;;Comprar Flurox 400 Mg X 7 Tabletas Recubiertas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Flurox 400 Mg X 7 Tabletas Recubiertas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Rosuvastatina Mk 20 Mg X 28 Tabletas Recubiertas;;148537,37;0;148537,37;0;;;;;7702057062170;7702057062170;COBECA;;;;;;5;;;;Comprar Rosuvastatina Mk 20 Mg X 28 Tabletas Recubiertas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Rosuvastatina Mk 20 Mg X 28 Tabletas Recubiertas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Buscapina Fem X 90 Tabletas X 2 Unidades;;134115,18;0;134115,18;0;;;;;7702132121181;7702132121181;COBECA;;;;;;5;;;;Comprar Buscapina Fem X 90 Tabletas X 2 Unidades en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Buscapina Fem X 90 Tabletas X 2 Unidades Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Buscapina Nf X100 Tabletas X 2 Unidades;;147200,58;0;147200,58;0;;;;;7702132121198;7702132121198;COBECA;;;;;;5;;;;Comprar Buscapina Nf X100 Tabletas X 2 Unidades en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Buscapina Nf X100 Tabletas X 2 Unidades Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Epoyet 2000 Ui X 2Cc X 25 Ampollas;;222576,1;0;222576,1;0;;;;;7703153022358;7703153022358;COBECA;;;;;;5;;;;Comprar Epoyet 2000 Ui X 2Cc X 25 Ampollas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Epoyet 2000 Ui X 2Cc X 25 Ampollas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Aspirina 100 Mg X 140 Tabletas (5X6);;223397,61;0;223397,61;0;;;;;7702123003830;7702123003830;COBECA;;;;;;5;;;;Comprar Aspirina 100 Mg X 140 Tabletas (5X6) en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aspirina 100 Mg X 140 Tabletas (5X6) Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Dexapron 20 Mg X 20 Tabletas;;236591,49;0;236591,49;0;;;;;7702057012335;7702057012335;COBECA;;;;;;5;;;;Comprar Dexapron 20 Mg X 20 Tabletas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Dexapron 20 Mg X 20 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Luvox 100 Mg X 30 Tabletas;;292914,08;0;292914,08;0;;;;;7501033959714;7501033959714;COBECA;;;;;;5;;;;Comprar Luvox 100 Mg X 30 Tabletas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Luvox 100 Mg X 30 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Lipitor 20 Mg X 90 Tabletas;;418634,49;0;418634,49;0;;;;;7703283404116;7703283404116;COBECA;;;;;;5;;;;Comprar Lipitor 20 Mg X 90 Tabletas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Lipitor 20 Mg X 90 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Apronax 550 Mg X 60 Tabletas (4X5);;502075,95;0;502075,95;0;;;;;7702123006435;7702123006435;COBECA;;;;;;5;;;;Comprar Apronax 550 Mg X 60 Tabletas (4X5) en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Apronax 550 Mg X 60 Tabletas (4X5) Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Survanta 200Mg/8Cc X 1 Vial;;1373060,74;0;1373060,74;0;;;;;7790440104019;7790440104019;COBECA;;;;;;5;;;;Comprar Survanta 200Mg/8Cc X 1 Vial en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Survanta 200Mg/8Cc X 1 Vial Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
